sex,bmi_class,X2.5..,X97.5..
1,obese,150.3,211.5
1,overweight,65.5,110.1
1,normal,28.3,78.8
1,morbidly obese,235.6,508.8
1,underweight,-82.6,188.8
2,obese,122.2,176.5
2,overweight,45.3,88.4
2,normal,-7.6,29.2
2,morbidly obese,224.5,381.1
2,underweight,-64.3,89.5
