Sex,Age_group,Age_est,BMI_class,weight,BMI_est,Wt_est,Ht_est,Current_intake
female,16-19,18,normal,133.36,21.69,58,163,"2,158"
female,20-24,22,normal,151.54,21.99,60,164,"2,168"
female,25-29,27,normal,138.04,22.34,59,163,"2,103"
female,30-34,32,normal,156.29,22.17,59,164,"2,074"
female,35-39,37,normal,149.76,22.36,61,164,"2,066"
female,40-44,42,normal,106.75,22.36,61,164,"2,027"
female,45-49,47,normal,106.83,22.36,61,165,"1,997"
female,50-54,52,normal,118.22,22.82,61,163,"1,938"
female,55-59,57,normal,108.45,22.66,61,164,"1,909"
female,60-64,62,normal,93.01,22.92,60,162,"1,833"
female,65-69,67,normal,68.99,22.35,59,162,"1,778"
female,70-74,72,normal,73.27,22.5,57,160,"1,687"
female,75-79,77,normal,60.33,22.53,57,159,"1,637"
female,80-84,82,normal,40.57,22.43,56,158,"1,572"
female,85-89,87,normal,23.28,22.15,53,155,"1,455"
female,90+,90,normal,13.27,22.76,56,157,"1,499"
male,16-19,18,normal,164.75,21.88,69,177,"2,739"
male,20-24,22,normal,132.51,22.36,70,177,"2,724"
male,25-29,27,normal,159.89,22.58,72,179,"2,736"
male,30-34,32,normal,93.02,22.34,71,178,"2,671"
male,35-39,37,normal,108.83,22.9,73,178,"2,664"
male,40-44,42,normal,86.03,23.13,73,177,"2,614"
male,45-49,47,normal,59.54,23.1,72,176,"2,549"
male,50-54,52,normal,79.1,23.2,72,177,"2,520"
male,55-59,57,normal,60.43,23.15,72,177,"2,480"
male,60-64,62,normal,63.59,22.89,69,173,"2,353"
male,65-69,67,normal,53.61,22.96,71,176,"2,375"
male,70-74,72,normal,33.88,23.37,69,171,"2,254"
male,75-79,77,normal,38.7,23.26,68,171,"2,199"
male,80-84,82,normal,30.4,23.07,68,172,"2,169"
male,85-89,87,normal,19.41,23.16,68,171,"2,120"
male,90+,90,normal,8.31,22.67,67,172,"2,090"
female,16-19,18,obese,25.23,35.82,98,166,"2,827"
female,20-24,22,obese,35.76,36.97,98,162,"2,756"
female,25-29,27,obese,66.3,36.6,99,165,"2,762"
female,30-34,32,obese,103,35.71,95,164,"2,649"
female,35-39,37,obese,98.71,35.48,94,163,"2,584"
female,40-44,42,obese,97.01,35.88,93,161,"2,508"
female,45-49,47,obese,122.25,36.01,94,161,"2,485"
female,50-54,52,obese,121.59,35.96,94,162,"2,456"
