Sex,Age_group,Age_est,BMI_class,weight,BMI_est,Wt_est,Ht_est,Current_intake
female,55-59,57,obese,117.96,35.46,91,160,"2,348"
female,60-64,62,obese,93.87,35.86,92,160,"2,325"
female,65-69,67,obese,91.75,34.96,89,159,"2,228"
female,70-74,72,obese,80.47,34.47,85,157,"2,104"
female,75-79,77,obese,60.16,34.46,85,157,"2,065"
female,80-84,82,obese,31.87,34.41,82,154,"1,948"
female,85-89,87,obese,16.89,33.91,81,154,"1,892"
female,90+,90,obese,8.03,32.83,75,151,"1,743"
male,16-19,18,obese,34.19,35.09,113,179,"3,462"
male,20-24,22,obese,39.56,35.51,112,178,"3,405"
male,25-29,27,obese,58.02,35.53,112,177,"3,356"
male,30-34,32,obese,71.76,33.87,107,178,"3,246"
male,35-39,37,obese,94.1,34.24,108,178,"3,223"
male,40-44,42,obese,81.45,33.52,103,175,"3,074"
male,45-49,47,obese,103.04,34.06,108,178,"3,144"
male,50-54,52,obese,117.48,33.56,104,176,"3,021"
male,55-59,57,obese,101.58,34.18,105,175,"2,988"
male,60-64,62,obese,102,34.1,103,173,"2,896"
male,65-69,67,obese,92.54,34.44,102,172,"2,831"
male,70-74,72,obese,94.2,34.42,103,173,"2,818"
male,75-79,77,obese,46.23,33.98,99,171,"2,694"
male,80-84,82,obese,24.17,32.36,93,169,"2,539"
male,85-89,87,obese,10.87,31.82,89,167,"2,416"
male,90+,90,obese,0.84,30.12,83,166,"2,286"
female,16-19,18,overweight,52.08,27.23,72.9,163,"2,398"
female,20-24,22,overweight,75.29,26.87,72,163,"2,350"
female,25-29,27,overweight,82.33,27.36,73,163,"2,327"
female,30-34,32,overweight,99.29,27.37,71,162,"2,245"
female,35-39,37,overweight,77.77,27.58,73,162,"2,238"
female,40-44,42,overweight,95.67,27.49,73,163,"2,209"
female,45-49,47,overweight,109.39,27.46,72,162,"2,143"
female,50-54,52,overweight,103.53,27.31,71,161,"2,078"
female,55-59,57,overweight,96.83,27.4,71,161,"2,039"
female,60-64,62,overweight,92.49,27.24,71,161,"1,999"
female,65-69,67,overweight,81.12,27.21,69,160,"1,918"
female,70-74,72,overweight,95.6,27.32,69,159,"1,869"
female,75-79,77,overweight,79.42,27.21,67,156,"1,767"
female,80-84,82,overweight,46.62,27.35,66,156,"1,712"
female,85-89,87,overweight,37.87,27.15,66,156,"1,672"
female,90+,90,overweight,8.23,27.32,66,155,"1,639"
male,16-19,18,overweight,37.58,27,85,177,"2,995"
male,20-24,22,overweight,85.76,27.32,87,178,"3,005"
male,25-29,27,overweight,120.69,27.17,87,179,"2,976"
male,30-34,32,overweight,132.84,27.5,87,178,"2,927"
male,35-39,37,overweight,118.72,27.46,86,177,"2,861"
male,40-44,42,overweight,136.9,26.83,84,177,"2,790"
male,45-49,47,overweight,146.95,27.41,85,176,"2,757"
male,50-54,52,overweight,173.92,27.24,85,176,"2,717"
male,55-59,57,overweight,131.95,27.42,84,174,"2,642"
male,60-64,62,overweight,135.69,27.47,84,175,"2,613"
male,65-69,67,overweight,93.66,27.77,84,174,"2,563"
male,70-74,72,overweight,106.5,27.39,82,173,"2,482"
male,75-79,77,overweight,79.44,27.47,81,171,"2,407"
male,80-84,82,overweight,56.5,27.32,80,171,"2,351"
male,85-89,87,overweight,22.89,27.22,78,169,"2,260"
male,90+,90,overweight,10.3,27.22,75,166,"2,158"
female,16-19,18,underweight,19.06,17.15,44,161,"1,914"
female,20-24,22,underweight,13.52,17.37,46,163,"1,934"
female,25-29,27,underweight,3.83,18.16,47,161,"1,891"
female,30-34,32,underweight,7.42,17.75,46,160,"1,826"
female,35-39,37,underweight,2.68,17.63,48,164,"1,858"
female,40-44,42,underweight,5.99,17.85,49,165,"1,845"
female,45-49,47,underweight,1.66,17.37,48,166,"1,800"
female,50-54,52,underweight,0.85,18.09,52,170,"1,864"
female,55-59,57,underweight,2.81,17.17,46,163,"1,659"
female,60-64,62,underweight,3.31,17.1,48,168,"1,702"
female,65-69,67,underweight,9.46,17.28,45,162,"1,554"
female,70-74,72,underweight,4.18,16.04,40,157,"1,385"
female,75-79,77,underweight,1.69,17.04,44,160,"1,440"
female,80-84,82,underweight,2.61,15.59,45,169,"1,506"
female,85-89,87,underweight,2.46,17.71,44,158,"1,341"
female,90+,90,underweight,0.87,17.78,41,152,"1,209"
male,16-19,18,underweight,30.32,17.18,52,175,"2,447"
male,20-24,22,underweight,13.43,17.69,52,171,"2,376"
male,25-29,27,underweight,1.37,17.86,54,174,"2,399"
male,30-34,32,underweight,2.82,17.49,58,182,"2,503"
male,35-39,37,underweight,4.11,15.6,37,154,"1,848"
male,40-44,42,underweight,1.22,14.53,43,172,"2,085"
male,45-49,47,underweight,0.64,16.84,45,163,"1,987"
male,50-54,52,underweight,0.52,17.72,49,166,"2,042"
male,60-64,62,underweight,0.87,18.42,55,172,"2,119"
male,65-69,67,underweight,2.13,17.48,45,160,"1,800"
male,70-74,72,underweight,2.25,15.84,48,174,"1,948"
male,75-79,77,underweight,1.85,17.5,56,178,"2,077"
male,80-84,82,underweight,0.78,18.05,61,183,"2,168"
