index,Sex,Age_group,Age_est,Ethnicity,BMI_class,sample_weight,BMI_est,Wt_est,Ht_est,IMD_q,finalWeight_10p,final_BMI_10p,final_BMI_class_10p,X,finalWeight_15p,final_BMI_15p,final_BMI_class_15p,finalWeight_20p,final_BMI_20p,final_BMI_class_20p,finalWeight_22.5p,final_BMI_22.5p,final_BMI_class_22.5p,sample_share
0,female,60-64,62,Black,overweight,0.902759126321129,28.877782049639027,67.6,153.0,5,63.89427420151355,27.29474740549086,overweight,0.0,61.53580381900974,26.287241581874383,overweight,59.21706621499854,25.296709049937437,overweight,58.072800304168354,24.8078945295264,normal,0.00011414259068451295
1,female,25-29,27,Asian,obese,0.93978051515553,30.120438310301346,83.2,166.2,4,76.058600820979,27.535076850915058,overweight,3.0,72.66386985277903,26.306101073177835,overweight,69.34351079129569,25.104049747703566,overweight,67.71184415341813,24.51334645071838,normal,0.00011882348186477453
2,female,80-84,82,Black,overweight,0.890691229260916,29.010721594770565,68.0,153.1,3,64.58774247856317,27.55495611000489,overweight,6.0,62.45919386733858,26.6468571223406,overweight,60.35971952576071,25.75116203971001,overweight,59.32103495143663,25.308029848379142,overweight,0.00011261675616852186
3,female,25-29,27,White,obese,0.739280163811248,32.21485327924046,76.5,154.1,5,70.04971069570966,29.498577154451343,overweight,7.0,66.9224994678558,28.181679757346693,overweight,63.86605984847004,26.894584935185,overweight,62.36486866594127,26.262419527482333,overweight,9.347272232290914e-05
4,female,45-49,47,Black,obese,0.87400941834588,30.67194819651897,83.1,164.6,5,78.08510022426853,28.82096448855303,overweight,10.0,74.83738267877544,27.622242174325716,overweight,71.65298664033534,26.44689162885959,overweight,70.08501501506217,25.86815824180796,overweight,0.00011050755000307339
5,female,35-39,37,Black,overweight,1.03532581927457,28.40193676884687,79.4,167.2,4,74.33671313197948,26.59076355136511,overweight,12.0,71.05594289474277,25.417209032081598,overweight,67.84696023400618,24.26933343230115,normal,66.26995720270119,23.70522838973939,normal,0.00013090398952392114
6,male,45-49,47,Asian,overweight,1.15978739685495,26.35194981678759,69.5,162.4,4,65.38490039038813,24.79164912033329,normal,17.0,62.69134916396003,23.770349454897605,normal,60.056019632626274,22.771125403668748,normal,58.76034293843565,22.27985047958109,normal,0.00014664059798513826
7,male,40-44,42,Black,overweight,1.15889432313627,25.19179618344627,89.0,187.96,3,83.64348622167205,23.6756141232501,normal,20.0,80.15968382459151,22.689510303804543,normal,76.74642274012179,21.723373477278137,normal,75.06675340493992,21.247936538542337,normal,0.00014652767999300697
8,male,55-59,57,Black,overweight,1.01981766348785,25.882219376285004,79.5,175.26,4,75.02312586159884,24.424717004333864,normal,24.0,72.13615507285722,23.4848275541812,normal,69.3016549035442,22.562020570479607,normal,67.90433642918977,22.107106063664794,normal,0.00012894317735750327
9,female,55-59,57,Black,obese,1.46923661569973,30.245698691581044,85.0,167.64,4,80.09967495113963,28.50200745724413,overweight,25.0,76.95228782467649,27.38206719027042,overweight,73.8604504337972,26.28189328288337,overweight,72.33577468183671,25.739365242928585,overweight,0.00018576657798844372
10,male,60-64,62,Black,overweight,1.72283575380204,26.12244897959184,80.0,175.0,4,75.59231034339398,24.68320337743477,normal,26.0,72.76397955948468,23.75966679493377,normal,69.98425557121517,22.8520018191723,normal,68.61286263517059,22.404200044137333,normal,0.00021783101441936428
11,female,60-64,62,White,obese,0.738697153406348,37.98392987582177,83.2,148.0,5,78.51786981012413,35.846361308493485,obese,27.0,75.52884400371738,34.48175858460436,obese,72.59014651225672,33.14013262977389,obese,71.14000245904353,32.47808731694829,obese,9.339900795539842e-05
12,male,75-79,77,White,obese,0.727498049704736,31.69708487217183,88.4,167.0,5,83.78360020950345,30.04180867349258,obese,28.0,80.87583011715492,28.999186101027256,overweight,78.00970619963786,27.97149636044242,overweight,76.59250890949623,27.46333999408234,overweight,9.198302148395088e-05
13,female,70-74,72,White,obese,0.73113389048226,32.772681594475515,81.4,157.6,5,77.02368603481484,31.01072159277441,obese,29.0,74.25457782252334,29.8958431929946,overweight,71.52818060396356,28.79816078582109,overweight,70.1812718933761,28.255878103893476,overweight,9.244272803641098e-05
14,male,45-49,47,White,obese,0.893414984319746,30.76492884339882,99.9,180.2,5,94.02619971941712,28.95604948731805,overweight,30.0,90.24301602843816,27.79099065794393,overweight,86.52750207881002,26.646771215732063,overweight,84.69566535910421,26.08264382499659,overweight,0.00011296114089944321
15,male,55-59,57,White,obese,0.822232042850351,31.35684554779248,94.5,173.6,5,89.15972995866208,29.58484530578469,overweight,31.0,85.7429911299885,28.451108250463385,overweight,82.38358815092963,27.336396289117957,overweight,80.72578762154845,26.786307451563943,overweight,0.00010396094902658857
